state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Louisiana,1988,0,0,0,0,0,0,NA,NA,NA,0,3,3,NA,NA,NA,1,24,25,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1987,0,0,0,0,0,0,NA,NA,NA,0,8,8,NA,NA,NA,1,19,20,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1986,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,30,30,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1985,0,0,0,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,1,15,16,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1984,0,3,3,0,0,0,NA,NA,NA,0,5,5,NA,NA,NA,0,5,5,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1983,0,2,2,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,0,17,17,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1982,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,20,20,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1981,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,13,13,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1980,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1979,0,2,2,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,9,9,NA,NA,NA,0,0,0,NA,NA,NA
Louisiana,1978,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,4,4,NA,NA,NA,0,0,0,NA,NA,NA
