state,year,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
New Mexico,2006,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,396,2349,2745,603,3671,4274,0,0,0,0,14,14,123,1006,1129
New Mexico,2005,0,0,0,2,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,2265,2616,489,3590,4079,0,0,0,0,0,0,103,925,1028
New Mexico,2004,0,0,0,1,15,16,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,310,2185,2495,531,3559,4090,0,0,0,0,0,0,166,939,1105
New Mexico,2003,0,0,0,0,56,56,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,277,1903,2180,492,3452,3944,0,0,0,0,0,0,155,1113,1268
New Mexico,2002,0,0,0,824,2978,3802,137,999,1136,0,1,1,10,74,84,0,0,0,0,0,0,0,0,0,1076,4752,5828,0,7,7,0,0,0,105,673,778
New Mexico,2001,0,0,0,11,125,136,178,1411,1589,0,0,0,8,5,13,0,0,0,0,0,0,15,107,122,355,2867,3222,0,28,28,0,0,0,143,1179,1322
New Mexico,2e3,NA,NA,NA,NA,NA,NA,224,1589,1813,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,2969,3404,2,19,21,NA,NA,NA,209,1350,1559
New Mexico,1999,0,0,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,136,1090,1226,207,1801,2008,0,10,10,0,0,0,71,693,764
New Mexico,1998,NA,NA,NA,0,1,1,154,1266,1420,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,NA,NA,229,2035,2264,0,11,11,0,0,0,48,664,712
New Mexico,1997,NA,NA,NA,NA,NA,NA,211,1689,1900,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,NA,NA,352,2737,3089,0,33,33,0,0,0,141,998,1139
New Mexico,1996,NA,NA,NA,NA,NA,NA,170,1237,1407,NA,NA,NA,13,26,39,0,0,0,0,0,0,NA,NA,NA,247,2017,2264,1,30,31,0,0,0,63,705,768
New Mexico,1995,NA,NA,NA,NA,NA,NA,46,1052,1098,NA,NA,NA,16,80,96,0,0,0,0,0,0,NA,NA,NA,112,1842,1954,0,25,25,0,0,0,48,645,693
New Mexico,1994,NA,NA,NA,NA,NA,NA,82,1139,1221,NA,NA,NA,52,198,250,0,0,0,0,0,0,NA,NA,NA,186,1972,2158,4,18,22,0,0,0,44,571,615
New Mexico,1993,NA,NA,NA,NA,NA,NA,91,1158,1249,NA,NA,NA,35,164,199,0,0,0,1,3,4,NA,NA,NA,195,1920,2115,1,20,21,0,0,0,67,533,600
New Mexico,1992,NA,NA,NA,NA,NA,NA,77,1074,1151,NA,NA,NA,36,220,256,0,0,0,0,5,5,NA,NA,NA,153,1964,2117,0,29,29,0,0,0,36,597,633
New Mexico,1991,NA,NA,NA,NA,NA,NA,79,941,1020,NA,NA,NA,24,127,151,0,0,0,3,6,9,NA,NA,NA,151,1532,1683,0,0,0,0,0,0,42,444,486
New Mexico,1990,NA,NA,NA,NA,NA,NA,85,994,1079,NA,NA,NA,9,41,50,0,0,0,0,4,4,NA,NA,NA,172,1795,1967,26,78,104,0,0,0,51,664,715
New Mexico,1989,NA,NA,NA,NA,NA,NA,75,971,1046,NA,NA,NA,19,69,88,0,0,0,0,2,2,NA,NA,NA,133,1857,1990,0,109,109,0,0,0,39,686,725
New Mexico,1988,NA,NA,NA,NA,NA,NA,89,1029,1118,NA,NA,NA,0,19,19,0,0,0,0,1,1,NA,NA,NA,142,1781,1923,0,72,72,0,0,0,52,637,689
New Mexico,1987,NA,NA,NA,NA,NA,NA,86,992,1078,NA,NA,NA,0,0,0,0,0,0,0,5,5,NA,NA,NA,98,1261,1359,2,2,4,0,0,0,8,217,225
New Mexico,1986,NA,NA,NA,NA,NA,NA,70,953,1023,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,107,1542,1649,2,14,16,0,0,0,17,486,503
New Mexico,1985,NA,NA,NA,NA,NA,NA,47,871,918,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,102,1491,1593,1,3,4,0,0,0,51,571,622
New Mexico,1984,NA,NA,NA,NA,NA,NA,43,828,871,NA,NA,NA,0,0,0,0,0,0,1,7,8,NA,NA,NA,92,1238,1330,0,0,0,0,0,0,46,366,412
New Mexico,1983,NA,NA,NA,NA,NA,NA,73,643,716,NA,NA,NA,0,0,0,0,0,0,0,9,9,NA,NA,NA,106,979,1085,1,0,1,0,0,0,30,297,327
New Mexico,1982,NA,NA,NA,0,0,0,30,553,583,NA,NA,NA,0,0,0,0,6,6,0,7,7,0,0,0,48,897,945,1,1,2,0,2,2,11,292,303
New Mexico,1981,NA,NA,NA,0,0,0,24,478,502,NA,NA,NA,6,197,203,0,0,0,0,0,0,0,0,0,52,1057,1109,0,1,1,0,0,0,19,331,350
New Mexico,1980,NA,NA,NA,0,0,0,20,466,486,NA,NA,NA,0,7,7,0,0,0,0,0,0,0,0,0,30,722,752,0,1,1,0,0,0,9,187,196
New Mexico,1979,NA,NA,NA,1,20,21,25,610,635,NA,NA,NA,0,0,0,1,5,6,2,16,18,0,0,0,58,827,885,0,0,0,0,0,0,11,111,122
New Mexico,1978,0,0,0,2,20,22,30,453,483,0,30,30,0,0,0,0,0,0,0,20,20,0,0,0,38,685,723,0,0,0,0,0,0,6,159,165
